,history,pdecision,n,pdecision_err,pswitch,pswitch_err
20,RRR,0.02252977148374638,3107,0.0026623155947259522,0.02252977148374638,0.0026623155947259522
52,rRR,0.029508196721311476,305,0.009689856627805986,0.029508196721311476,0.009689856627805986
0,LLL,0.97184,3125,0.0029592979924299594,0.02816,0.002959297992429961
31,lLL,0.9676375404530745,309,0.010066949152522792,0.032362459546925564,0.0100669491525228
8,LlL,0.9541284403669725,327,0.011569145886534479,0.045871559633027525,0.011569145886534486
28,RrR,0.06528189910979229,337,0.013456179320089162,0.06528189910979229,0.013456179320089162
39,llL,0.8536585365853658,41,0.05519933710725543,0.14634146341463414,0.05519933710725542
36,lRR,0.07391304347826087,230,0.01725132704184025,0.07391304347826087,0.01725132704184025
60,rrR,0.06976744186046512,43,0.038849724166723575,0.06976744186046512,0.038849724166723575
47,rLL,0.9267241379310345,232,0.01710849130108218,0.07327586206896551,0.01710849130108218
43,lrL,0.9148936170212766,47,0.04070215806788415,0.0851063829787234,0.04070215806788415
27,RrL,0.8709677419354839,31,0.06021009840370212,0.12903225806451613,0.06021009840370212
2,LLl,0.8561643835616438,438,0.01676774817100912,0.14383561643835616,0.016767748171009116
19,RRL,1.0,8,0.0,0.0,0.0
5,LRR,0.1111111111111111,9,0.10475656017578482,0.1111111111111111,0.10475656017578482
22,RRr,0.1291759465478842,449,0.015828248645769347,0.1291759465478842,0.015828248645769347
44,lrR,0.13043478260869565,23,0.0702237263554129,0.13043478260869565,0.0702237263554129
23,RlL,0.8333333333333334,6,0.15214515486254612,0.16666666666666666,0.15214515486254615
56,rlR,0.16981132075471697,53,0.05157435301238719,0.16981132075471697,0.05157435301238719
9,LlR,0.17647058823529413,34,0.06537869767367192,0.17647058823529413,0.06537869767367192
16,RLL,0.8333333333333334,6,0.15214515486254612,0.16666666666666666,0.15214515486254615
48,rLR,0.2,10,0.1264911064067352,0.2,0.1264911064067352
13,LrR,0.0,2,0.0,0.0,0.0
59,rrL,0.8260869565217391,138,0.03226557558788181,0.17391304347826086,0.03226557558788181
33,lLl,0.8166666666666667,60,0.04995368225036439,0.18333333333333332,0.04995368225036439
12,LrL,0.87,100,0.03363034344160047,0.13,0.03363034344160047
24,RlR,0.21782178217821782,101,0.04107171383200665,0.21782178217821782,0.04107171383200665
1,LLR,0.3333333333333333,12,0.13608276348795434,0.3333333333333333,0.13608276348795434
4,LRL,1.0,2,0.0,0.0,0.0
51,rRL,0.8,5,0.17888543819998315,0.2,0.1788854381999832
40,llR,0.1897810218978102,137,0.03350173605102216,0.1897810218978102,0.03350173605102216
54,rRr,0.2777777777777778,72,0.05278589931014528,0.2777777777777778,0.05278589931014528
55,rlL,0.7272727272727273,22,0.09495144870310791,0.2727272727272727,0.09495144870310791
35,lRL,0.8571428571428571,7,0.13226001425322165,0.14285714285714285,0.13226001425322165
10,Lll,0.744,125,0.03903475374586088,0.256,0.03903475374586088
30,Rrr,0.36363636363636365,132,0.04186965331562166,0.36363636363636365,0.04186965331562166
7,LRr,0.45454545454545453,11,0.150131422517231,0.45454545454545453,0.150131422517231
32,lLR,0.25,4,0.21650635094610965,0.25,0.21650635094610965
17,RLR,0.5,2,0.3535533905932738,0.5,0.3535533905932738
49,rLl,0.6216216216216216,37,0.07973065827541162,0.3783783783783784,0.07973065827541162
38,lRr,0.375,32,0.0855816496101822,0.375,0.0855816496101822
62,rrr,0.4502923976608187,171,0.038046536161099286,0.4502923976608187,0.038046536161099286
41,lll,0.527363184079602,201,0.035214428872001075,0.472636815920398,0.03521442887200108
14,Lrl,0.5,12,0.14433756729740643,0.5,0.14433756729740643
26,Rlr,0.5625,16,0.12401959270615269,0.5625,0.12401959270615269
57,rll,0.6216216216216216,37,0.07973065827541162,0.3783783783783784,0.07973065827541162
42,llr,0.4838709677419355,31,0.08975591530841967,0.4838709677419355,0.08975591530841967
3,LLr,0.6442307692307693,104,0.04694488228918247,0.6442307692307693,0.04694488228918247
15,Lrr,0.56,50,0.07019971509913697,0.56,0.07019971509913697
6,LRl,0.5,6,0.2041241452319315,0.5,0.2041241452319315
46,lrr,0.5172413793103449,29,0.09279245191499011,0.5172413793103449,0.09279245191499011
50,rLr,0.6857142857142857,35,0.07846932140863945,0.6857142857142857,0.07846932140863945
61,rrl,0.35714285714285715,28,0.09055224157805535,0.6428571428571429,0.09055224157805535
11,Llr,0.6065573770491803,61,0.06254775557771691,0.6065573770491803,0.06254775557771691
29,Rrl,0.3968253968253968,63,0.06163834629743043,0.6031746031746031,0.061638346297430424
45,lrl,0.6,30,0.08944271909999159,0.4,0.08944271909999159
25,Rll,0.4166666666666667,48,0.07115938031916387,0.5833333333333334,0.07115938031916388
58,rlr,0.7619047619047619,21,0.0929428640903365,0.7619047619047619,0.0929428640903365
18,RLl,0.35714285714285715,14,0.12806020814297073,0.6428571428571429,0.12806020814297073
21,RRl,0.3068181818181818,88,0.04916123578269206,0.6931818181818182,0.04916123578269206
37,lRl,0.32142857142857145,56,0.06240882562614831,0.6785714285714286,0.0624088256261483
34,lLr,0.875,24,0.06750771560841522,0.875,0.06750771560841522
53,rRl,0.2608695652173913,23,0.09156053715170007,0.7391304347826086,0.09156053715170008
