,history,pdecision,n,pdecision_err,pswitch,pswitch_err
0,LLL,0.97184,3125,0.002959298,0.02816,0.002959298
31,lLL,0.96763754,309,0.010066949,0.03236246,0.010066949
8,LlL,0.95412844,327,0.011569146,0.04587156,0.011569146
39,llL,0.853658537,41,0.055199337,0.146341463,0.055199337
36,lRR,0.073913043,230,0.017251327,0.073913043,0.017251327
9,LlR,0.176470588,34,0.065378698,0.176470588,0.065378698
1,LLR,0.333333333,12,0.136082763,0.333333333,0.136082763
2,LLl,0.856164384,438,0.016767748,0.143835616,0.016767748
13,LrR,0,2,0,0,0
43,lrL,0.914893617,47,0.040702158,0.085106383,0.040702158
5,LRR,0.111111111,9,0.10475656,0.111111111,0.10475656
35,lRL,0.857142857,7,0.132260014,0.142857143,0.132260014
40,llR,0.189781022,137,0.033501736,0.189781022,0.033501736
12,LrL,0.87,100,0.033630343,0.13,0.033630343
32,lLR,0.25,4,0.216506351,0.25,0.216506351
33,lLl,0.816666667,60,0.049953682,0.183333333,0.049953682
44,lrR,0.130434783,23,0.070223726,0.130434783,0.070223726
10,Lll,0.744,125,0.039034754,0.256,0.039034754
4,LRL,1,2,0,0,0
41,lll,0.527363184,201,0.035214429,0.472636816,0.035214429
14,Lrl,0.5,12,0.144337567,0.5,0.144337567
46,lrr,0.517241379,29,0.092792452,0.517241379,0.092792452
37,lRl,0.321428571,56,0.062408826,0.678571429,0.062408826
42,llr,0.483870968,31,0.089755915,0.483870968,0.089755915
11,Llr,0.606557377,61,0.062547756,0.606557377,0.062547756
15,Lrr,0.56,50,0.070199715,0.56,0.070199715
45,lrl,0.6,30,0.089442719,0.4,0.089442719
7,LRr,0.454545455,11,0.150131423,0.454545455,0.150131423
3,LLr,0.644230769,104,0.046944882,0.644230769,0.046944882
34,lLr,0.875,24,0.067507716,0.875,0.067507716
